Station,area_km2,Latitude,Longitude,Model,Country
53018,1569.35,51.4,-2.31,UP,GB
54029,1483.65,52.2,-2.39,UP,GB
27071,1354.43,54.15,-1.35,UP,GB
54008,1124.62,52.31,-2.59,UP,GB
43007,1062.08,50.76,-1.84,UP,GB
38001,1045.1,51.76,0.01,UP,GB
39016,1037.39,51.43,-1.07,UP,GB
42004,1034.7,50.97,-1.5,UP,GB
72004,985.37,54.08,-2.72,UP,GB
78003,925.03,55.02,-3.27,UP,GB
62001,897.59,52.05,-4.56,UP,GB
54012,851.65,52.71,-2.61,UP,GB
50001,832.97,51,-3.99,UP,GB
33034,707.75,52.43,0.72,UP,GB
68001,622.68,53.17,-2.49,UP,GB
83006,579.03,55.46,-4.59,UP,GB
36006,571.36,51.97,0.94,UP,GB
39021,555.45,51.86,-1.3,UP,GB
33022,539.63,52.14,-0.32,UP,GB
39105,531.53,51.74,-1.12,UP,GB
43009,518.75,50.93,-2.26,UP,GB
31002,337.88,52.72,-0.36,UP,GB
40012,187.31,51.42,0.23,UP,GB
39004,117.35,51.37,-0.14,UP,GB
33035,3580.76,52.58,0.34,UI,GB
33020,212.72,52.33,-0.23,UI,GB
39035,126.74,51.67,-1.89,UI,GB
33053,113.98,52.14,0.15,UI,GB
39114,90.05,51.45,-1.23,UI,GB
41023,86.2,50.85,-0.76,UI,GB
39120,83.95,51.14,-0.96,UI,GB
39125,62.57,51.79,-0.39,UI,GB
39099,39.22,51.71,-1.89,UI,GB
29009,29.31,53.37,-0.45,UI,GB
36009,25.56,52.14,0.79,UI,GB
39017,21.15,51.88,-1.01,UI,GB
30014,10.93,52.87,-0.33,UI,GB
31023,4.32,52.82,-0.57,UI,GB
75004,116.17,54.64,-3.35,MP,GB
27065,100.7,53.64,-1.79,MP,GB
69027,146.01,53.42,-2.14,MP,GB
40010,224.41,51.17,0.17,MP,GB
52005,203.66,51.02,-3.13,MP,GB
40009,134.5,51.13,0.45,MP,GB
41005,182.66,50.97,0.03,MP,GB
40004,204.64,50.99,0.52,MP,GB
47011,79.5,50.43,-4.08,MP,GB
66011,340.11,53.11,-3.79,MP,GB
65006,79.89,53.14,-4.25,MP,GB
65004,46.11,53.11,-4.27,MP,GB
65007,51.6,52.96,-4.24,MP,GB
54080,174.42,52.46,-3.49,MP,GB
60010,1092.41,51.86,-4.2,MP,GB
50011,80.17,50.8,-4,MP,GB
75003,363.04,54.68,-3.24,MP,GB
74001,85.25,54.3,-3.24,MP,GB
71008,258.13,53.85,-2.45,MP,GB
28048,128.63,53.06,-1.44,MP,GB
54028,779.14,52.77,-3.11,MP,GB
58006,65.32,51.76,-3.57,MP,GB
40007,252.07,51.14,0.17,MP,GB
45009,147.82,51.02,-3.52,MP,GB
52006,216.4,50.94,-2.61,MP,GB
Sundergarh,5869.11734240198,22.10972222,84.03,UP,IN
Mohgaon,3981.31304251836,22.76583333,80.62277778,UP,IN
Manot,4924.27236060084,22.73555556,80.51222222,UP,IN
Chhidgaon,1744.25821668391,22.40583333,77.30777778,UP,IN
Belkhedi,1477.48747757084,22.92777778,79.33972222,UP,IN
Patan,4028.28412264447,23.31166667,79.66277778,UP,IN
Anandpur,8667.94860651394,21.21055556,86.11972222,UP,IN
Mahuwa,1696.10503567488,21.01444444,73.14027778,UP,IN
Salebhata,4569.85977544167,20.98333333,83.53944444,UI,IN
Tilga,3191.60043544794,22.62361111,84.41722222,UI,IN
Ghatora,2928.1642461083,22.048592,82.22195611,MP,IN
Bamnidhi,9768.84187677002,21.9031832999,82.6940601796,MP,IN
Murappanadu,4660.3142321786,8.714444444,77.835,MP,IN
Savandapur,5602.07703224229,11.52138889,77.51,MP,IN
Adityapur,6287.83319409594,22.7875,86.17388889,MP,IN
MHHalli,3013.6062255595,12.81888889,76.13333333,MP,IN
Ambarampalayam,930.761001629148,10.63138889,76.94611111,MP,IN
Kudige,1751.57670192127,12.5025,75.96111111,MP,IN
PaleruBridge,2734.50574137994,16.94888889,80.04916667,MP,IN
Kotni,7020.37025557197,21.2340086,81.2514388,MI,IN
Baronda,3186.35699755298,20.91,81.88805556,MI,IN
TKHalli,8099.98131570422,12.41666667,77.1925,MI,IN
Arangali,1307.50124810176,10.28611111,76.32222222,MI,IN
Jewangi,1904.96906023973,17.25444444,77.46277778,MI,IN
GokakFalls,2824.54883437689,16.19,74.79138889,MI,IN
2231000,1812.2167,30.35885,-82.0815,UP,US
2296500,854.33073,27.37504,-81.79647,UP,US
2361000,1775.972366,31.34295,-85.61049,UP,US
2472500,787.019824,31.42583,-89.41472,UP,US
2479300,1141.696521,30.73611,-88.78111,UP,US
2479560,1454.951122,30.80908,-88.45863,UP,US
2481510,797.375348,30.48361,-89.27444,UP,US
8013000,1291.851619,30.99602,-92.67375,UP,US
8014500,1320.32931,30.69875,-92.89319,UP,US
8070000,841.386325,30.3366,-95.1041,UP,US
8070200,1004.485828,30.14549,-95.12438,UP,US
8164300,859.508492,29.46691,-96.81276,UP,US
8175000,1421.295669,29.21525,-97.44943,UP,US
8190000,1908.005297,29.42857,-99.99729,UP,US
8195000,1007.074709,29.48857,-99.70478,UP,US
8101000,1177.940855,31.28489,-97.88502,UI,US
8171300,1066.618972,29.97938,-97.91,UI,US
8189500,1786.32789,28.29195,-97.27916,UI,US
8064100,2184.126328,32.198333,-95.48,MI,US
8100000,5003.739847,31.788611,-97.878889,MI,US
8018500,3552.160661,32.613611,-94.514444,MP,US
8146000,7884.783088,31.213056,-97.280833,MP,US
8068000,2224.965638,30.244444,-94.543056,MP,US
8168500,3979.318985,29.714722,-97.890278,MP,US
8180640,2090.997204,29.323889,-97.187222,MP,US
